hairy woodpecker,dryobates villosus,,,,,,,,,https://birdsoftheworld.org/
hammond's flycatcher,empidonax hammondii,TRUE,,,,Tipulidae,,,,https://birdsoftheworld.org/
hermit thrush,catharus guttatus,TRUE,ephemeroptera,,,,,,,https://birdsoftheworld.org/
hermit warbler,setophaga occidentalis,TRUE,,plecoptera,,diptera,,,,https://birdsoftheworld.org/
hooded merganser,lophodytes cucullatus,TRUE,,,trichoptera,,odonata,bivalvia,,https://birdsoftheworld.org/
house finch,haemorhous mexicanus,,,,,,,,,https://birdsoftheworld.org/
house sparrow,passer domesticus,,,,,,,,,https://birdsoftheworld.org/
house wren,troglodytes aedon,TRUE,ephemeroptera,,,,,,,https://birdsoftheworld.org/
hutton's vireo,vireo huttoni,,,,,,,,,https://birdsoftheworld.org/
killdeer,charadrius vociferus,TRUE,,,,diptera,,,,https://birdsoftheworld.org/
lesser scaup,aythya affinis,TRUE,,,,Chironomidae,,bivalvia,gastropoda,https://birdsoftheworld.org/
lincoln's sparrow,melospiza lincolnii,TRUE,ephemeroptera,,,diptera,,,,https://birdsoftheworld.org/
macgillivray's warbler,geothlypis tolmiei,,,,,,,,,https://birdsoftheworld.org/
mallard,anas platyrhynchos,TRUE,,,trichoptera,Chironomidae,,,gastropoda,https://birdsoftheworld.org/
marbled murrelet,brachyramphus marmoratus,,,,,,,,,https://birdsoftheworld.org/
marsh wren,cistothorus palustris,TRUE,,,,diptera,odonata,,,https://birdsoftheworld.org/
merlin,falco columbarius,TRUE,,,,,odonata,,,https://birdsoftheworld.org/
mourning dove,zenaida macroura,,,,,,,,,https://birdsoftheworld.org/
northern flicker,colaptes auratus,,,,,,,,,https://birdsoftheworld.org/
northern harrier,circus hudsonius,,,,,,,,,https://birdsoftheworld.org/
northern pygmy-owl,glaucidium gnoma,TRUE,,,,,odonata,,,https://birdsoftheworld.org/
northern rough-winged swallow,stelgidopteryx serripennis,TRUE,,,,diptera,,,,https://birdsoftheworld.org/
northern shoveler,spatula clypeata,TRUE,,,,Chironomidae,,,,https://birdsoftheworld.org/
olive-sided flycatcher,contopus cooperi,TRUE,,,,diptera,,,,https://doi.org/10.3389/fevo.2021.633160
orange-crowned warbler,leiothlypis celata,,,,,,,,,https://birdsoftheworld.org/
osprey,pandion haliaetus,,,,,,,,,https://birdsoftheworld.org/
pacific wren,troglodytes pacificus,TRUE,,,,Stratiomyidae,,,,https://birdsoftheworld.org/
pacific-slope flycatcher,empidonax difficilis,TRUE,,,,diptera,,,,https://birdsoftheworld.org/
pied-billed grebe,podilymbus podiceps,TRUE,,,,,odonata,bivalvia,gastropoda,https://birdsoftheworld.org/
pileated woodpecker,dryocopus pileatus,,,,,,,,,https://birdsoftheworld.org/
pine siskin,spinus pinus,,,,,,,,,https://birdsoftheworld.org/
purple finch,haemorhous purpureus,,,,,,,,,https://birdsoftheworld.org/
purple martin,progne subis,TRUE,ephemeroptera,,trichoptera,"Chironomidae, Tipulidae",odonata,,,https://birdsoftheworld.org/
red crossbill,loxia curvirostra,,,,,,,,,https://birdsoftheworld.org/
red-breasted nuthatch,sitta canadensis,,,,,,,,,https://birdsoftheworld.org/
red-breasted sapsucker,sphyrapicus ruber,,,,,,,,,https://birdsoftheworld.org/
red-eyed vireo,vireo olivaceus,TRUE,,,,diptera,odonata,,,https://birdsoftheworld.org/
red-tailed hawk,buteo jamaicensis,,,,,,,,,https://birdsoftheworld.org/
red-winged blackbird,agelaius phoeniceus,TRUE,,,,Stratiomyidae,odonata,,,https://birdsoftheworld.org/
ring-billed gull,larus delawarensis,TRUE,ephemeroptera,,trichoptera,diptera,odonata,,,https://birdsoftheworld.org/
ring-necked duck,aythya collaris,TRUE,,,trichoptera,Chironomidae,odonata,bivalvia,gastropoda,https://birdsoftheworld.org/
rock pigeon,columba livia,,,,,,,,,https://birdsoftheworld.org/
ruby-crowned kinglet,corthylio calendula,TRUE,,,,diptera,,,,https://birdsoftheworld.org/
ruddy duck,oxyura jamaicensis,TRUE,ephemeroptera,,trichoptera,"Chironomidae, Culicidae",odonata,,,https://birdsoftheworld.org/
rufous hummingbird,selasphorus rufus,TRUE,,,,Chironomidae,,,,https://birdsoftheworld.org/
savannah sparrow,passerculus sandwichensis,TRUE,,,,"Chironomidae, Coelopidae",odonata,,,https://birdsoftheworld.org/
sharp-shinned hawk,accipiter striatus,,,,,,,,,https://birdsoftheworld.org/
song sparrow,melospiza melodia,TRUE,ephemeroptera,,,"Chironomidae, Tipulidae",,,gastropoda,https://doi.org/10.1002/ecs2.3148
sooty grouse,dendragapus fuliginosus,,,,,,,,,https://birdsoftheworld.org/
spotted sandpiper,actitis macularius,TRUE,ephemeroptera,,,diptera,,,,https://birdsoftheworld.org/
spotted towhee,pipilo maculatus,TRUE,,,,diptera,,,,https://birdsoftheworld.org/
steller's jay,cyanocitta stelleri,,,,,,,,,https://birdsoftheworld.org/
swainson's thrush,catharus ustulatus,TRUE,,,,diptera,,,,https://birdsoftheworld.org/
townsend's warbler,setophaga townsendi,,,,,,,,,https://birdsoftheworld.org/
tree swallow,tachycineta bicolor,TRUE,ephemeroptera,plecoptera,trichoptera,diptera,odonata,bivalvia,,https://birdsoftheworld.org/
turkey vulture,cathartes aura,,,,,,,,,https://birdsoftheworld.org/
varied thrush,ixoreus naevius,,,,,,,,,https://birdsoftheworld.org/
vaux's swift,chaetura vauxi,TRUE,ephemeroptera,,,diptera,,,,https://birdsoftheworld.org/
veery,catharus fuscescens,TRUE,,,,diptera,,,,https://birdsoftheworld.org/
violet-green swallow,tachycineta thalassina,TRUE,,,,diptera,,,,https://birdsoftheworld.org/
virginia rail,rallus limicola,TRUE,,,,diptera,odonata,,gastropoda,https://birdsoftheworld.org/
