common_name,habitat_1,habitat_2,habitat_3,habitat_4,range,insectivore,riparian_dependent_breeding,riparian_obligate_breeding,rip_obl_rich2002,rip_dep_rich2002,rip_asso_rich2002,foraging_guild_cornell,breeding_guild
Green-winged Teal,Open Water,Marsh,,,Non-breeding,,,,,,,dabbler,
Hairy Woodpecker,Forest,Woodland,,,Year-Round,Yes,,,,,,bark forager,
Hammond's Flycatcher,Forest,Woodland,,,Breeding,Yes,,,,,,flycatching,
Hermit Thrush,Riparian,Forest,,,Year-Round,Yes,,,,,,ground forager,
Hooded Merganser,Riparian,Forest,,,Year-Round,,,,,,,surface dive,
House Finch,Low Intensity Developed,Medium Intensity Urban,Grasslands,,Year-Round,,,,,,,ground forager,
House Sparrow,Medium Intensity Urban,High Intensity Developed,Low Intensity Developed,Open Space Developed,Year-Round,,,,,,,ground forager,
House Wren,Deciduous Forest,Medium Intensity Urban,Woodland,,Breeding,Yes,,,,X,X,foliage gleaner,
Hutton's Vireo,Riparian,Low Intensity Developed,Forest,,Year-Round,Yes,,,,,,foliage gleaner,
Killdeer,Open Water,,,,Year-Round,Yes,,,,,,ground forager,
Lark Sparrow,,,,,,,,,,,,ground forager,
Least Flycatcher,,,,,,,,,,,,flycatching,
Lesser Goldfinch,,,,,,,,,,X,X,foliage gleaner,
Lesser Scaup,Woody and Herbaceous Wetlands,Marsh,Open Water,,Non-breeding,,,,,,,surface dive,
Lincoln's Sparrow,Riparian,Forest,Marsh,,Non-breeding,Yes,Yes,Yes,X,,X,ground forager,
MacGillivray's Warbler,Riparian,Forest,,,Breeding,Yes,Yes,,,X,X,foliage gleaner,
Mallard,Riparian,High Intensity Developed,Open Water,,Year-Round,Yes,,,,,,dabbler,
Marbled Murrelet,Evergreen Forest,,,,Breeding,,,,,,,surface dive,
Marsh Wren,Marsh,,,,Year-Round,Yes,,,,,,ground forager,
Merlin,Grasslands,Woodland,,,Year-Round,,,,,,,aerial forager,
Mountain Bluebird,,,,,,,,,,,,flycatching,
Mourning Dove,Forest,Grasslands,Low Intensity Developed,,Year-Round,,,,,,,ground forager,
Northern Flicker,Forest,Medium Intensity Urban,Woodland,Grasslands,Year-Round,Yes,,,,,,ground forager,
Northern Harrier,Riparian,Marsh,Grasslands,Woody and Herbaceous Wetlands,Year-Round,,,,,,,aerial dive,
Northern Pygmy-Owl,Woodland,Forest,,,Year-Round,,,,,,,aerial forager,
Northern Rough-winged Swallow,Woodland,Medium Intensity Urban,,,Breeding,Yes,,,,,,aerial forager,
Northern Shoveler,Open Water,,,,Year-Round,,,,,,,dabbler,
Olive-sided Flycatcher,Evergreen Forest,,,,Breeding,Yes,,,,,,flycatching,
Orange-crowned Warbler,Riparian,Deciduous Forest,,,Breeding,Yes,Yes,,,X,X,foliage gleaner,
Osprey,Riparian,Low Intensity Developed,Open Water,Forest,Breeding,,,,,,,aerial dive,
Pacific Wren,Riparian,Evergreen Forest,Deciduous Forest,,Year-Round,Yes,,,,,,ground forager,
Palm Warbler,,,,,,,,,,,,ground forager,
Pied-billed Grebe,Open Water,,,,Year-Round,,,,,,,surface dive,
Pileated Woodpecker,Riparian,Forest,,,Year-Round,Yes,,,,,,bark forager,
Pine Grosbeak,,,,,,,,,,,,foliage gleaner,
Pine Siskin,Evergreen Forest,,,,Year-Round,,,,,,,foliage gleaner,
Purple Finch,Riparian,Evergreen Forest,,,Year-Round,,,,,,,foliage gleaner,
Purple Martin,Riparian,Medium Intensity Urban,Forest,Low Intensity Developed,Breeding,Yes,,,,,,aerial forager,
Red Crossbill,Evergreen Forest,,,,Year-Round,,,,,,,foliage gleaner,
Red-breasted Nuthatch,Evergreen Forest,Woodland,,,Year-Round,Yes,,,,,,bark forager,
Red-breasted Sapsucker,Riparian,Evergreen Forest,,,Year-Round,,,,,,,bark forager,
Red-eyed Vireo,Riparian,Forest,,,Breeding,Yes,Yes,,,X,X,foliage gleaner,
Red-shouldered Hawk,,,,,,,,,,,,aerial dive,
Red-tailed Hawk,Grasslands,Medium Intensity Urban,Woodland,,Year-Round,,,,,,,soaring,
Red-winged Blackbird,Marsh,Low Intensity Developed,Grasslands,,Year-Round,Yes,,,,,,ground forager,
Ring-billed Gull,Open Water,,,,Non-breeding,,,,,,,ground forager,
Ring-necked Duck,Marsh,Woody and Herbaceous Wetlands,,,Year-Round,,,,,,,surface dive,
Rock Pigeon,Medium Intensity Urban,High Intensity Developed,Low Intensity Developed,,Year-Round,,,,,,,ground forager,
Ruby-crowned Kinglet,Evergreen Forest,,,,Non-breeding,Yes,,,,,,foliage gleaner,
Ruddy Duck,Open Water,Marsh,Woody and Herbaceous Wetlands,,Non-breeding,Yes,,,,,,surface dive,
Ruffed Grouse,,,,,,,,,,,,foliage gleaner,
Rufous Hummingbird,Forest,Medium Intensity Urban,Low Intensity Developed,,Breeding,,,,,,,hovering,
